system:index,B2,B3,B4,B5,B6,B7,B8,landcover,ndd,ndsi,ndvi,.geo
2_45_0,802,828,502,1127,3222,3806,3756,5,0.13365282,-0.3662457,0.76420856,
2_46_0,966,1137,602,1448,4517,5320,5460,5,0.11025641,-0.38340563,0.8013857,
2_47_0,861,932,545,1197,3256,3696,3665,5,0.14870396,-0.36317047,0.7410926,
2_48_0,901,947,627,1291,3267,3856,3973,5,0.15781525,-0.38586253,0.7273913,
2_49_0,882,922,586,1207,3405,4059,4202,5,0.1394574,-0.41811296,0.75522137,
2_50_0,902,893,629,1171,2890,3363,3469,5,0.18132026,-0.41423416,0.693021,
2_51_0,903,1043,536,1429,5132,6085,6167,5,0.08691422,-0.41682974,0.8400716,
2_52_0,856,886,500,1079,3337,3908,4008,5,0.1247505,-0.38041958,0.77817214,
2_53_0,834,828,462,971,2794,3263,3455,5,0.13371925,-0.28774193,0.7641052,
2_54_0,864,831,524,991,2660,3296,3152,5,0.16624366,-0.2823834,0.7149075,
2_55_0,1090,1163,779,1428,3695,4277,4418,5,0.17632413,-0.31527817,0.70021164,
2_56_0,894,973,554,1234,3573,4155,4245,5,0.13050647,-0.3432332,0.76911855,
2_57_0,772,846,490,1208,3284,3804,3735,5,0.13119143,-0.3705357,0.76804733,
2_58_0,774,816,527,1150,2623,2965,2919,5,0.18054128,-0.35798582,0.6941381,
2_59_0,792,858,553,1250,2802,3405,3215,5,0.17200622,-0.38406318,0.70647556,
2_60_0,842,883,641,1286,2769,3229,3223,5,0.19888303,-0.38466898,0.66821945,
2_61_0,757,762,481,1018,2572,2983,2960,5,0.1625,-0.39185953,0.72043014,
2_62_0,765,793,489,1075,2725,3192,3201,5,0.15276477,-0.3648378,0.73495936,
2_63_0,766,827,481,1116,3113,3614,3546,5,0.13564579,-0.38306603,0.7611125,
2_64_0,859,839,523,980,2724,3388,3318,5,0.15762508,-0.27703577,0.7276751,
2_65_0,875,920,511,1067,3258,3882,3894,5,0.13122752,-0.32944608,0.76799095,
2_66_0,844,788,499,873,2439,2922,2863,5,0.1742927,-0.25059438,0.7031529,
2_67_0,877,944,597,1233,3116,3551,3553,5,0.16802701,-0.3768977,0.71228915,
2_68_0,874,860,597,1083,2621,3048,3083,5,0.19364256,-0.3608324,0.6755435,
2_69_0,963,979,642,1228,3412,4046,4225,5,0.15195267,-0.40158924,0.73618245,
2_70_0,793,829,495,1127,2914,3417,3417,5,0.14486392,-0.4314129,0.7469325,
2_71_0,793,815,506,1043,2852,3217,3227,5,0.15680198,-0.34852117,0.72890437,
2_72_0,862,886,572,1160,3065,3485,3281,5,0.17433709,-0.36487454,0.7030885,
2_73_0,838,857,519,1059,2907,3489,3380,5,0.1535503,-0.29869068,0.7337779,
2_74_0,893,942,590,1209,3085,3684,3681,5,0.16028254,-0.31788558,0.7237181,
2_75_0,808,820,485,1011,2430,2651,2781,5,0.17439769,-0.2635833,0.7030006,
2_76_0,904,827,646,985,1827,2096,2061,5,0.31344008,-0.30416492,0.5227189,
2_77_0,912,891,628,1134,2320,2867,2802,5,0.22412562,-0.3049922,0.6338192,
2_78_0,917,893,656,1190,2598,2991,2933,5,0.22366178,-0.35125318,0.6344386,
2_79_0,858,905,530,1149,2910,3543,3354,5,0.15802027,-0.3620021,0.7270855,
2_80_0,970,1142,613,1489,4380,5336,5218,5,0.11747796,-0.38469827,0.7897445,
2_81_0,886,919,575,1129,2573,2825,2837,5,0.20267889,-0.27092424,0.6629543,
2_82_0,854,868,534,1045,2452,2630,2547,5,0.20965843,-0.27455077,0.6533593,
2_83_0,941,1122,594,1528,5001,6007,5776,5,0.102839336,-0.40916273,0.81350076,
2_84_0,1108,1169,746,1522,3726,4244,4015,5,0.18580323,-0.35539013,0.6866205,
2_85_0,1157,1276,901,1596,3676,4217,4036,5,0.22324084,-0.3237944,0.635001,
2_86_0,987,1141,707,1587,4241,5031,4905,5,0.14413863,-0.4139702,0.7480399,
2_87_0,916,1104,596,1412,4103,4926,4848,5,0.12293729,-0.33493975,0.78104335,
2_88_0,846,995,490,1307,4522,5372,5206,5,0.094122164,-0.41470587,0.82794946,
2_89_0,882,1016,579,1241,3291,3726,3640,5,0.15906593,-0.3648015,0.7255274,
2_90_0,911,1129,556,1391,4302,4896,4762,5,0.11675767,-0.3475874,0.79089886,
2_91_0,849,908,520,1172,3231,3814,3690,5,0.14092141,-0.3912169,0.75296915,
2_92_0,839,948,496,1192,3767,4497,4292,5,0.11556384,-0.37611055,0.7928154,
2_93_0,890,1037,553,1313,3617,4356,4080,5,0.13553922,-0.34221375,0.7612778,
2_94_0,890,1076,515,1320,4152,4920,4809,5,0.10709087,-0.3447016,0.80653644,
2_95_0,874,994,506,1248,3786,4784,4458,5,0.113503814,-0.32928476,0.79613215,
2_96_0,924,949,562,1236,3279,3659,3607,5,0.15580815,-0.36372778,0.73039097,
2_97_0,896,1055,560,1281,3722,4417,4384,5,0.12773722,-0.33438486,0.7734628,
2_98_0,896,1028,538,1336,4281,5066,4905,5,0.109684,-0.40578035,0.8023149,
2_99_0,882,940,514,1108,3443,4108,3980,5,0.12914573,-0.35704514,0.77125055,
2_100_0,967,1084,613,1303,3725,4360,4497,5,0.1363131,-0.32920793,0.76007825,
2_101_0,897,1047,527,1321,3944,4581,4541,5,0.11605373,-0.32884616,0.7920284,
2_102_0,900,1022,569,1272,3575,4108,3941,5,0.1443796,-0.33485195,0.74767184,
2_103_0,900,936,527,1156,3551,4101,3984,5,0.13227911,-0.3679946,0.7663489,
